"max_generations","no_improvement_limit","improvement_threshold","diversity_threshold","mean_best_score","mean_mean_score","mean_generations","mean_prop_duplicates","most_common_convergence_reason"
50,5,0.05,0.85,2.73101020638564,2.60519193074184,28.1,0.029,"no_improvement"
50,5,0.05,0.9,2.73592201866236,2.62021861451398,27.8,0.023,"no_improvement"
50,5,0.1,0.85,2.20658538137496,1.77109674456777,12.4,0.021,"no_improvement"
50,5,0.1,0.9,1.98406360741657,1.4726722192947,9.6,0.018,"no_improvement"
50,10,0.05,0.85,2.77653256981753,2.69591188901186,32.9,0.021,"no_improvement"
50,10,0.05,0.9,2.80455405564909,2.72151229162489,32.9,0.022,"no_improvement"
50,10,0.1,0.85,2.48337878936553,2.18483109620026,19.4,0.029,"no_improvement"
50,10,0.1,0.9,2.57699835779795,2.32764010191689,22.4,0.016,"no_improvement"
100,5,0.05,0.85,2.7357254620432,2.61126930192361,28.1,0.015,"no_improvement"
100,5,0.05,0.9,2.71250575983709,2.58730389904403,27.3,0.017,"no_improvement"
100,5,0.1,0.85,2.27904977333135,1.86209526982321,13.9,0.022,"no_improvement"
100,5,0.1,0.9,2.16264179842374,1.61111430729964,10.9,0.017,"no_improvement"
100,10,0.05,0.85,2.78992339268593,2.70330244119424,32.5,0.024,"no_improvement"
100,10,0.05,0.9,2.77427619917889,2.69136275494034,32.6,0.025,"no_improvement"
100,10,0.1,0.85,2.52138931053073,2.19838703142725,19.6,0.015,"no_improvement"
100,10,0.1,0.9,2.4027902263082,2.08538612440905,18.1,0.02,"no_improvement"
